content,label
잘쓰고 있어요 배달앱중에 젤많이 쓰게 되네요~,1
"배민 주문할 때, 라이더에게 요청사항 란에 소비자가 자주 사용하는 문구는 자동 저장되어 소비자가 사용했던 문구를 골라서 사용할 수 있게 해주세요. 직접입력 이란곳억 매번 주문할때마다 똑같은 문구를 쓰니 불편합니다. 소비자에게 맞도록 소비자가 배민 주문하는 장소에 따라 문구도 선택할 수 있도록 개선해주세요.",1
배송도 빠르고 맛도 항상 맛있네요~^,1
전에는 배달이 오고 나면 리뷰를 바로 작성할 수 있어서 한두입 먹어보고 리뷰 먼저 작성한 뒤에 나머지 배부르게 먹었는데 지금은 배달이 오고 1시간이 지나야 리뷰 작성이 가능해서 리뷰 작성하는걸 까먹을 때가 많습니다 리뷰를 작성한다고 약속드리고 받는 서비스들이 있는데 1시간을 리뷰 쓰려고 기다려야 하니까 답답합니다 안기다리고 바로 작성할 수 있게 다시 바꿔주세요,1
고객과 사업주에게 필요한 정보들은 모두 들어 있는 것 같습니다! 결제를 하면 포인트를 주는 것도 좋아요,1
배민라이더스창이 안뜹니다 쿠폰만주고 되지는않네요 이게 무슨 경우인지 . 남들 다 뜨던데 쿠폰창만뜨고 왜 위치설정창은 안뜨나요?,1
5천 할인권까지ㅎ 정말 감사드립니다. 처음 사용해봤는데 앞으로도 많이 이용할께요,1
배달의민족 처음이용자인데 적당히 배달음식먹고 배좀두들기려는찰라! 후기남기라는 메세지뜨네요ㅋ 어플훌륭해요. 사장님들 힘내세요!,1
카드로 바로 결재가 되어 너무 편하네요~,1
편하고 좋아요 분식집이 떡볶이류만 많아 아쉽네요,1
"배민 이용잘하고있는데 개선문의하나할게요 배달팁이(가포동)의 경우 추가비용을 받는데 저희 집은 (월영동)인데 아파트명칭에 ""가포""라는 문구가있어서 배달수수료를 계속 내고있습니다. 개선부탁드립니다. 가포부영아파트는 월영동입니다. 전산수정 부탁드립니다.",1
배달 어플중에서 제일 깔끔하고 편해요 배민라이더스도 편하고.,1
배민 넘 잘쓰고 있음. 믿고 주문할 수 있음. UI 별 다섯개 시스템안정성 별 다섯개,1
할인 이벤트나 할인 쿠폰이 있으면 그냥 지나치기 힘드네요ㅎ 자주 좋은 조건의 행사를 부탁드려요~,1
음식점이름을 검색할수있는기능 있으면 좋을것같아용,1
"그 전 카드,페이결제 포인트 다 쌓였는데 지금 vip고 셀 수 없이 시켜도 포인트가 안쌓여요 왜죠",1
드디어 배민 첫 구매 해봤는데 가격 할인 많이 받아서 좋았어요 ㅎ,1
좋네요. 처음사용했는데 결제수단도 많고 좋습니다,1
할인쿠폰도 많고 식당들도 다양해서 좋아요,1
검색으로 하는 음식종류가 조금더 잘되있었음 좋겠음,1
상점수가 많아 선택에 폭이 많아 좋아요,1
간편하게 주문하며 할인까지 편해서 좋아요.,1
엄청 잘씀. 배달앱중에 제일 애용하고 있어요,1
배달앱중 UI가 가장 편리하고 친숙합니다.,1
자주 이용하고 편해서 잘 이용했는데 타사에 비해 쿠폰에 인색한점 거기서 별뺌,1
믿고 쓰는 배민 고객의 소리에 귀를 기울리고 항상 더 좋은 주문환경을 만든다 우아한형제들에서 일하고싶네,1
빠르고편해서좋네요없는업체들도생겼으면좋겠어요,1
아주 편히 잘 사용중입니다.최강의 배달 앱 인정.,1
편하고좋네요. 간단간단 가끔 오류인지 멈춰버리는게 함정ㅡㅅㅡ,1
일단 편해서 좋아요. 카테고리 구분도 잘 되어있고.,1
정말 편리하고 좋습니다. 중간에 연결을 잘 해주셔서 감사합니다.,1
최공디 맛과 신선함 그리고 정성을 느끼고 싶다면 한번만이라도 드셔보세요. 단골이 될겁니다,1
집에 배달책이 없어져서 동생이 이거 깔았는데 편리하고 너무좋네욧ㅜ동생에 이어 저까지 깝니당ㅎ그리구 디저트까지 있어서 너무 좋네욧ㅜ배달의 민족 진짜 너무 사랑해욧❤,1
배달어플 시조답게 좋아요 상단에 검색버튼이 있으면 좋겠어요,1
타 어플인 요*보다는 많은 배달업체연결이 되어 있어서 자주써먹어요^ 더 많은 식당연결해주세요!,1
사용하기두편리하고 배달어플중에 제일 잘사용하고있어요ㅎ,1
편해요 은긍히 평도 볼수있어 배달시킬때많은도윰되요,1
맛있는 음식점에 직접 가지 않고 집에서 배달해서 먹을 수 있어서 넘 편리해요~!,1
쿠폰도 많이 주고 어플도 편리하게 잘 만들었네요,1
배민은 사랑입니다,1
빠르고 깔끔하고 따끈따끈하게 곁들임 반찬도 다양하고 맛나요!,1
배달의민족 사용하기 너무 많이 좋은거같아요 진장 사용할껏을 ㅋ 좋아요,1
너무 잘사용하고있어요~너무좋아요~쿠폰 쫌 많이 줬음 좋겠네요~,1
검색도 빠르고 처음이라고 쿠폰도 주고 첫배송에 기분이 좋았습니다,1
"오 요즘 배달 지연도 없고, 어디까지 왔는지 지도로 보여줘서 진짜 편함",1
좋으네요 ㅎ 배달올때 카드 안꺼내도 되서 너무 좋아요,1
주변 상인중 나름의 빈공간을 이용사는 상인도 많네요. 별점만 보고 시키기에는 믿음이 부족합니다.,1
원래 배달통만 사용 했는데 배달 민족 도 좋네요 여러 업체가 있어서 좋네요,1
이용도 편하고 배달도 빠르고 좋네요,1
라이더도 친절하고 주문앱도 사용하기 편리했습니다,1
"정말 잘쓰고 있는데요 , 새로운 기능이 되어서 업뎃 을 했는데 변화가 없네요. 어떻게 된건 가요,",1
분류도 잘되어있어 죠쿠 주문후 몇분뒤 도착인지 안내되는거도 죠아욥,1
가입도 편하고 가까운 곳에서 검색가능하니 좋네요,1
광고 알람 꺼뒀는데도 자꾸 알람이 와요. 잘쓰고있습니다,1
전국 어디서나 주문하면 배달되는 배민 적극 추천 합니다 먼데 사는 큰아들이 엄마가 아프다고 맛난것 시켜서 바로 보냈더라구요 참 편한세상 입니다 배민은 우리 국민의 입맛 배달 입니다,1
배민 요즘 쿠폰 많이 뿌려서 좋습니다. 앞으로도 많이 이용하겠습니다.,1
잘 쓰고 있어요! 점점 복잡해지는 느낌이 들고는 있어요. 음.,1
편리하고 사용이 쉬워서 잘사용하고있읍니다,1
편하게 잘 쓰고 있긴 한데 뭔가 너무 혜택이 부족한듯. 이거 포인트는 원래 안 쌓이는 건가요?,1
편리하고 좋네요~도착예정시간도 알려주고요~,1
다야한 메뉴 편하고 빠른 배달 좋아요~,1
진짜 맛있어요~!,1
역시 배달의 편리함과 신규 업장을 쉽게 알수있어좋음,1
맛집도 쉽게 다양하게 알려 주고 사용하기 편하네요~,1
처음 배달앱을 깔아봤는데 편리하고 간편해서 좋아요.,1
좋습니다. 좀더 이벤트가 많으면 좋겠어요. 타 앱 대비 이벤트가 적은듯해요.,1
다른피자보다고소하고먹었을때포만감이없고위에부담이없이참맛나는 비스트로피자였어요~앞으로대~박나세요^,1
편해서 좋음/쿠폰있어서 저렴하게 구매가능/굿굿굿,1
개인적으로 배달도 쉽게 시킬수도 있고 편합니다,1
편리하고~ 좋아요~^ 쿠폰도 가끔씩 주시고~ 만족해요~^,1
너무 편하고 좋아서 바깥 공기를 못마실 정도예요. 잘 이용할께요.,1
배달의민족! 나는 그동안 이런앱이 왜안나왔나 할 싶을정도로 너무좋다 기숙사는 광고책도 없을뿐더러 너무 불편했었다. 나는 오늘도 배달의민족을 보고 시킨다!,1
배달도 빠르고 주문하기도 편리해요.,1
첫주문이었는데 비가와서 오래걸릴줄 알았는데 빠르게와서 좋았어요,1
저렴한가격에 편리한 주문까지 좋아요~,1
늦은시간대 주문가능한 곳을 한눈에 볼수 있었으면 더 좋겟어요,1
혼밥러들에게는 편하게 이용할수 있는 좋은 앱인것같아요~,1
처음 이용해봤는데 편리하고 쿠폰도 주셔서 잘썼어요 감사합니다^,1
지방에 사시는 부모님께 배달해드리려고 자주 애용합니다. 너무 좋네요~,1
"배민 배달에 문제가 있어서 상담 버튼을 눌렀는데, 잠시 확인을 위해 상담창을 나왔더니 상담 창이 아예 사라진 줄 알고 새로 처음부터 다시 상담 버튼을 눌렀습니다. 그 후에 고객센터 - 실시간 채팅 상담에 들어가보니 중복으로 상담한 흔적이 남아 있었습니다. 배달 중처럼 실시간 채팅 상담 중이라고 배민 홈에 표시되면 좋겠습니다.",1
요기요 쓰다가 여기로 갈아탔어요 훨씬 좋아요 음식점 자체도 훨씬 많고 소프트웨어 자체가 확연히 좋아요,1
깔끔하고 맛도있어요 잔 만족합니다 대박나세요 자주 시켜먹을것 같아요,1
요기요 보다 훨씬 간편하고 이벤트도 정직합니다. 더욱 더 번창하시길 바랍니다!,1
와이프추천으로 앱설치했는데 첫느낌은 좋아요 그래도 첫느낌에는 별4개 드립니다 무궁한 발전하세요,1
배달 시 요청사항 유지가 안되네요 매번 새로 작성하기 번거로운데 저장기능 만들어주세요~,1
다 좋은데 리뷰의 경우 어떤 메뉴에 대한건지 알 수 없어서 아쉬움,1
찜한 가게들 가나다 순으로 정렬하는 기능 있었으면 좋겠습니다,1
요기x보다 음식점도 많고 결제시스템도 좋네요. 일찍 설치했어야했는데.,1
배달의 민족 다 좋은데 수수료가 무료였으면 좋겠어요!,1
리뷰쓰기에서 구매자가 선택한 메뉴를 노출시킬수있음 더 좋겠네요.,1
요*만 쓰다가 배민을 이용중인데 종유도 다양하고 제가 원하는 맛집도 여기있더라구요!잘 이용하고 있습니다!,1
할인쿠폰이 많은 편이라 자주 이용합니다. ^,1
편리하고 좋은데 좀더 많은 메뉴가 있었음해요^,1
촌지역인데 여기에 전국 프렌차이즈매장들 많은데 배민엔 없더라구여 ㅠ 여기 지점 사람들이 안올린건지 모르겠지만. 그래도 좋음 깔깔깔,1
좋아요 계속쓰게 됩니다. 전화주문이 귀찮아졌어요,1
사용하기 편하고 메뉴가 많아서 조아요,1
리뷰에서 특정 메뉴에 관한 리뷰만 모아 볼 수 있는 기능이 생겼으면 좋겠습니다,1
밀크쉐이크는 이집이 진심 쵝오 👍,1
앱 잘사용하고있습니다 배달시키는것은 넘 편리해서 좋음,1
어딜가든 배민 어플만 있으면 배달음식 어렵지 않아요~,1
좋아요 좋아 혼술.혼밥이 거뜬해서 좋은데 갑자기 생긴 배달료는 안시키게 된다는.: ㅠㅡ,1
아주 좋은 핸드폰속의 광고 입니다 배민의 지속적인 고객 관리를 부탁드립니다,1
배달 시킬때마다 유용하게 잘쓰고잇어여,1
식당 로고도 앱에 넣어주시면 더욱 직관적이고 선택하기 좋을것 같아요,1
배달도 빠르고 다양하고 쿠폰도 많으 주시고 친절해서 최고,1
그냥 주문 전화로 배달 시켜먹는 것도다 혜택이 많아서 너무 좋아요!,1
배달도 빠르고 배달해주시는 분이 친절하셔서 기분좋게 전달받았습니다^,1
덕분에 맛있는 음식을 편하게 먹을 수 있어서 너무 좋아요♥ 요즘 자주 애용하고 있습니다ㅎ,1
배달 시키기 간편하고 좋네요 많은 할인 쿠폰이 제공되면 좋겠어요,1
좀 시간이 다소 ᆢ,1
좀 늦게 입문했지만 ㅋ 역시 배달어플 배민이 쿠폰도주고 좋아요 ^,1
좋아요 근데 배달료가 다른데보다 좀 쎄서 아쉽네요,1
여친한테도 보내주고 하는데 편리하네요 배달 시간도 알려주고,1
배달음식 맛있는곳 찾기쉬워 좋았고요 번창하길 바랍니다,1
배달도 빠르고 배달오신분도 친절하고 음식도 맛있어용 ^♡,1
잘이용하고있습니다 포인트나 이벤트 좀 자주해주셨음좋겠네요,1
편리하고 좋아요~ 할인이벤트가 좀 더 많았으면 좋겠습니다!,1
주문도 편리하고 맛도 좋고 짱입니다.,1
단골 가게들이 많이 있어 선택하기가 좋아요.,1
다른배달앱보다 주문하기도편하고 종류도 다른데보다 찾기가 좋아요,1
"신선한 식재료로 믿을 수 있는 사업체에서 만들어서 배송해주시 믿고 안심하고 먹을 수 있고, 편리성 또한 우수합니다!",1
페이스북 로그인사용하다가 페북지웠는데 다른방법으로 로그인이 안됩니다 확인해주세요,1
배달어플여러개 이용해봤는데 배달의민족이 최고에요,1
대체적으로 완성미가 있어요 약간만 보완하면 최고의 앱이 될듯,1
다양한 음식을 택할수 있어서 좋아요.,1
앱개발 UI를 처음사용자도 명확히 빠른속도에 인식할수있게 해주세요,1
덕분에 배달 잘 시키고 있습니다!우아한형재 오래가세요~,1
뭐 말이 필요한가요? 어디서나 간편하게 주문할 수 있는 부분이 최고인거죠 ㅎ 저는 불편함없이 잘 쓰고있습니다.,1
검색하는 검색창이 아래에 있고 광고가 있어서 불편함,1
저도 지금 안되요. 요즘 자주 이러는것 같습니다 개발자는 버그확인해주세요,1
잘 사용하고 있습니다! ㅎ 동네에 배달하는 곳이 더 생겨나길 바라면서 ㅋ,1
다좋은데. 시키고 1분동안은 배달취소할수있는 그런 기능은 없나요? ㅜ 맨날 잘못시켜서 까먹네요. 흡,1
내 친구 배민~♥ 너무너무 좋아요 그런데 메뉴가 더 다양해 지면 좋겠어요!,1
배달의민족은 늘 옳습니다~^ 빠르고 친절하고 최고의 민족입니다!,1
요X요 보다 훨씬더 좋은 같아요! 야식을 책임져주는 배달의민족 앱이 너무 좋아요!,1
배달가능한 곳들이 주여지고 리뷰도 있어서 좋습니다.,1
말이 필요있나요? 배달주문이 이렇게 쉬울수가. 리뷰도 많아 배달시킬 때마다 만족입니다.^,1
요x요보다 좋은거같아요 인터페이스가 만족스럽네요. 바로 넘어왔습니다!,1
배달시킬 때 자주사용합니다. 혜택이 있고 리뷰가 있는것이 장점입니다.,1
배달의민족은 뭐 말해뭐하나요~배달 어플은 이만한 어플이 또 없죠 ! 매일 매일 쓰고있어요 ㅎ,1
좋은분들도있고 불친절하신분들도있긴한데 편리하고좋아용,1
배달이 조금 빠르게 오면 좋겠어요.한시간은 너무한듯,1
앱 다운 받을때 안 좋은 평가가 너무 많아서 살짝 망설어셔 깔앗지만 정말 좋은 앱 같아요 추천 드립니다ㅏ,1
안녕하세요 개발자님 배민앱 요긴하게 잘 쓰고있는 사람들 중 한 사람입니다 다름이 아니고 요청사항? 건의사항?이 있어서 이렇게 글을 남깁니다 쿠폰함에 쿠폰 코드를 입력하면 쓸 수 있다고 나오긴했는데 제가 카카오톡 기프티콘 쿠폰도 같이 됐으면 좋겠어요,1
점점 사용하기 편해지고 좋아지는듯 배달도착시간은 좀 안맞음,1
사용이 간편하고 가입하면 쿠폰까지 주셔서 아주 좋네요.,1
음식 종류에 들어가서 원하는 상호 검색이 되면 좋겠어요,1
진짜 라이더분들 최소한의 교육은해주세요 요청사항 그냥 안봐버리고 얘기꺼내면 무조건못봤다! 더이상 뭐라합니까?업체에 얘기할수도없구요 빨리빨리처리하려고 뻔뻔하게 나오는데 라이더분 백이면 구십프로이상이 그럽니다 짜증나요진짜!,1
대체적으로 그닥그런거 같아요.단골집아니곤 거의 못시키겠어요.넘 성의없는데도 많은듯요,1
일하고 숨쉬고만 싶은데 배고플때 정말 좋은 앱입니다 쿠팡다음으로 사랑 합니다^,1
편리하고 좋아요~할인쿠폰 좀많아졌음 좋겠네요~,1
배달료가 늘어서 아쉽지만! 앱자체는 최고입니다!,1
요기요이용하다가 배달민족 이용한후 계속 이용하게되더군요,1
자주 이용합니다. 아주좋음 ㅋ 거리도 가까운데도 비싼배달료극혐,1
타 배달업체랑 다르게 소비자들 입장에서 먼저생각하는 특히 혼자사는 사람이 갈수록 늘어나는 지금입장에서 엄청좋은것같습니다 최소주문금액 배달료 너무메리트있네요 근데 서울지역빼고는 매장등록이 하나도 안되어있는것같네요 빨리 많이 올라왔음 합니다,1
배달은 역시 배민~^ 자주 이용하고있어여~,1
좋다좋아 배달앱은 배달의민족이 제일 좋은거 같아요!,1
좋은 서비스입니다. 항상 변함없는 앱이 되길 바랍니다.,1
시골에서도 다양한가게가 있어으면 합니다. ㅋ,1
간편하게 동네맛집을 집에서 즐깁니다. 아주 좋아요,1
배달앱이 이전과는 틀려요 엄청 발전했네요 잘쓰고 있어요,1
배달어플로 배달의민족 사용중인데 잘쓰고 있습니다.,1
결제할 때 비번 입력/비번생략 외에 생체인증을 통한 결제도 추가되면 좋겠어요!,1
첫배달 넘 기분좋게 잘먹었어요~앞으로도 계속 쭉 좋았음 좋겠어요~,1
보기쉽고 찾기편한 인터페이스가 좋습니다,1
배달도 빠르고 사용도 편해요^,1
검색창 상단에있던게훨씬편해요. 실시간검색.유용하지않습니다.,1
배달이 빠르고 결제도 간편해서 좋아요ㅎ,1
배달도 짱좋아요~^/잘이용하고 있습니다.,1
다른 어플은 사용안해봤지만 배민 넘좋고 편해요. 신세계입니다,1
요근래 일주일에 세네번은 시키는듯요 이 앱없었음 어쩔뻔 여튼 편하게 잘 쓰고있어요,1
간단히 맛집을 찾을수 있어서 정말 좋아요.,1
배달도 빠르고 편해서 자주이용합니다,1
쉬운 로그인 맛집별 쿠폰 좋아요. 중복 맛집은 좀 어지럽네요.,1
전체적으로 좋습니다. 리뷰에 검색기능을추가했으면 좋겠습니다.,1
정확하고 빠르며 안전한 결제와 수령.,1
배민1 진작에 만들어주시지. 정말 빠른거같아요 앱도 깔끔하게 변해서 좋아유,1
"너무도 습하고 더운 날, 집에서 즐거운 한끼 해결 굿!",1
배달을 편하게 시켜먹을수 있어서 정말 좋았습니다.,1
먹고싶은음식을 간단하게시킬수잇는게너무너무좋아요!,1
괜찮아요 편하고 빠르게 배달시켜먹어요,1
배달 업소와 빠른 컨넥팅 항상 만족합니다,1
원하는대로 음식이 잘오고 시간도 잘맞춰왔읍니다,1
아주만족합니다 맛집별로 시켜먹을수있어 넘좋아요,1
배달음식을 자주 시키는 저에겐 아주 유용하네요ㅎ,1
빠르고 음식도 깔끔히 배달 왔네요! 감사합니다^,1
단골집인대이번에배달하게되어~너무좋네요^,1
"편리하게 잘 주문해서, 맛있게 잘 먹었습니다.^",1
쿠폰도 주고 사용하기도 편하고 짱좋아요~♡,1
배달음식 시켜 먹을 때 이벤트 및 할인 쿠폰을 활용하니 참 좋네요~^,1
앱 좋고 배달도 생각보다 빠르고 좋아요,1
배달 앱 처음 사용했는데 간편하고 편리하네요,1
요기요나 딴거에 비해 좋아요~ 찾기도 쉽고 다양하고~,1
배달앱중 제일 보기 쉽게 해놓은거같아요,1
우리집 주변에 배달가능한 맛집을 전혀 몰랐는데 유용하네요,1
빠르게 원하는걸 배달해서 먹을수있으니 진짜 좋네요.,1
메뉴 찾기 편하고 주문이 편리 하네요,1
편리해서 가입하고 더욱자주사용하고있어요!,1
빠른배달 친절하게 배달해주셔서 항상고맙습니다,1
좋네요 전화도 필요없이 바로 딩동 배달되는게 신기해요,1
다양한 브랜드와 빠른 배달 좋아요 👍,1
다 좋은나 쿠폰과 결제 시스템이 타 앱에 비해 아쉽네요,1
